dataset,ATE,lb,ub,DGPid,trueATE
low1440,-2.010417054,-2.830671986,-1.190162122,63,-2
low1441,0.061208081,0.030245712,0.092170451,34,0.049629693
low1442,9.923178868,8.90595709,10.94040065,30,10
low1443,3.733660056,3.420315773,4.047004339,64,3.625
low1444,0.118780423,-0.025193328,0.262754173,19,0.120725664
low1445,0.5081748,0.315550638,0.700798963,57,0.5
low1446,4.141991687,3.815003701,4.468979673,64,3.625
low1447,2.089410215,1.600841181,2.577979249,62,2
low1448,2.887368109,1.910123643,3.864612576,31,2
low1449,2.031493385,1.584006586,2.478980183,61,2
low145,3.396546794,2.653355888,4.139737701,29,4
low1450,0.490297639,0.311787224,0.668808054,57,0.5
low1451,1.031199699,0.850577462,1.211821935,58,1
low1452,2.320498759,1.892233799,2.748763719,61,2
low1453,-0.623248118,-0.842188408,-0.404307829,59,-0.8
low1454,-1.670307652,-2.376606004,-0.9640093,63,-2
low1455,0.081970063,0.055136356,0.108803769,36,0.094084067
low1456,1.756212727,1.599633587,1.912791867,60,1.686248312
low1457,-2.339847076,-2.88763713,-1.792057021,63,-2
low1458,0.159107477,0.087634196,0.230580758,19,0.120725664
low1459,3.175531176,2.473477708,3.877584644,32,2.527390408
low146,3.024388048,2.168199734,3.880576362,29,4
low1460,0.081295134,0.054892522,0.107697746,36,0.094084067
low1461,4.230088714,3.43845436,5.021723069,29,4
low1462,3.896261445,3.577717229,4.21480566,64,3.625
low1463,0.09093783,0.065245055,0.116630604,36,0.094084067
low1464,0.112467427,0.093017063,0.131917791,33,0.099589875
low1465,3.749931802,3.001371526,4.498492078,29,4
low1466,0.164290015,0.081853932,0.246726098,18,0.147047059
low1467,2.531262587,1.561885131,3.500640042,31,2
low1468,0.150450367,0.088067619,0.212833116,19,0.120725664
low1469,0.0805895,0.054816489,0.106362511,36,0.094084067
low147,2.242449577,1.777102041,2.707797112,61,2
low1470,0.126237122,0.058199777,0.194274466,19,0.120725664
low1471,0.141161697,0.057810978,0.224512417,17,0.106696525
low1472,0.050881886,0.019829491,0.081934282,34,0.049629693
low1473,2.031742191,1.51664477,2.546839613,62,2
low1474,0.09371858,0.073595666,0.113841493,33,0.099589875
low1475,0.173193217,0.092414242,0.253972191,18,0.147047059
low1476,2.1487029,1.691184071,2.60622173,62,2
low1477,-0.710346377,-0.888670891,-0.532021863,59,-0.8
low1478,0.03385524,-6.36E-06,0.067716837,34,0.049629693
low1479,2.355556386,1.308324598,3.402788175,31,2
low148,2.908054819,2.181286521,3.634823116,32,2.527390408
low1480,0.114644658,0.048532897,0.180756419,19,0.120725664
low1481,0.177091533,0.09369561,0.260487456,18,0.147047059
low1482,3.552041278,3.251980295,3.852102262,64,3.625
low1483,0.142138113,0.060603856,0.223672369,18,0.147047059
low1484,0.942046163,0.7518854,1.132206926,58,1
low1485,0.549107055,0.38224838,0.715965729,57,0.5
low1486,9.633058807,8.568356624,10.69776099,30,10
low1487,3.562837548,3.247404732,3.878270364,64,3.625
low1488,0.168725902,0.101490435,0.23596137,20,0.156759654
low1489,0.224553562,0.163475918,0.285631206,20,0.156759654
low149,0.156626841,0.06885951,0.244394172,18,0.147047059
low1490,-0.752737575,-0.981678251,-0.523796898,59,-0.8
low1491,-1.591453119,-2.209313395,-0.973592843,63,-2
low1492,3.472256236,3.165802292,3.77871018,64,3.625
low1493,0.046314944,0.016076331,0.076553557,34,0.049629693
low1494,0.329127627,0.160644642,0.497610613,57,0.5
low1495,2.019062903,1.430008515,2.608117291,62,2
low1496,0.128950979,0.053061364,0.204840593,20,0.156759654
low1497,0.13482142,0.035650919,0.233991921,18,0.147047059
low1498,-0.911929478,-1.137803768,-0.686055189,59,-0.8
low1499,0.039779106,-0.035960937,0.115519149,19,0.120725664
low15,1.043716782,0.842428462,1.245005102,58,1
low150,1.067157707,0.844945352,1.289370062,58,1
low1500,3.718560878,3.39970982,4.037411935,64,3.625
low1501,0.956547832,0.73244391,1.180651755,58,1
low1502,-0.979453865,-1.154306067,-0.804601662,59,-0.8
low1503,0.122162902,0.061471245,0.18285456,19,0.120725664
low1504,-2.051947134,-2.60132413,-1.502570137,63,-2
low1505,0.101482982,0.081738378,0.121227585,33,0.099589875
low1506,0.182711226,0.116022815,0.249399638,20,0.156759654
low1507,2.262985962,1.517143895,3.00882803,32,2.527390408
low1508,0.121452452,0.093183866,0.149721038,35,0.122643948
low1509,2.328247281,1.443331079,3.213163483,31,2
low151,0.09003383,0.061015442,0.119052217,36,0.094084067
low1510,9.51649159,8.408227238,10.62475594,30,10
low1511,0.077699512,0.051413571,0.103985454,36,0.094084067
low1512,2.221966676,1.701890124,2.742043228,62,2
low1513,2.110249881,1.198586305,3.021913458,31,2
low1514,0.151123551,0.067612583,0.234634519,18,0.147047059
low1515,0.947958142,0.720310831,1.175605454,58,1
low1516,10.15860498,9.048081198,11.26912875,30,10
low1517,-1.882876481,-2.395088745,-1.370664216,63,-2
low1518,0.115328992,0.089355579,0.141302404,36,0.094084067
low1519,10.13183096,8.938942224,11.3247197,30,10
low152,0.153384579,0.07959552,0.227173639,20,0.156759654
low1520,2.391008365,1.684977743,3.097038987,32,2.527390408
low1521,0.123924002,0.093634014,0.154213989,35,0.122643948
low1522,0.115007323,0.025118696,0.20489595,18,0.147047059
low1523,0.427700269,0.237668947,0.617731592,57,0.5
low1524,3.480708525,3.123541678,3.837875372,64,3.625
low1525,1.757977084,1.237634389,2.278319779,62,2
low1526,-2.211522132,-2.836442274,-1.58660199,63,-2
low1527,1.697338462,1.542838754,1.85183817,60,1.686248312
low1528,2.582995988,1.871290316,3.29470166,32,2.527390408
low1529,0.105905254,0.075017508,0.136793,35,0.122643948
low153,0.117530475,0.086016527,0.149044423,35,0.122643948
low1530,0.087587522,0.058024803,0.117150241,34,0.049629693
low1531,3.951915632,3.071709801,4.832121462,29,4
low1532,2.439433693,2.002630239,2.876237146,61,2
low1533,3.80869536,2.976804096,4.640586624,29,4
low1534,9.100404325,7.993274597,10.20753405,30,10
low1535,-1.911125478,-2.844458877,-0.977792079,63,-2
low1536,0.816712308,0.546656074,1.086768541,58,1
low1537,0.06913621,0.04081762,0.097454801,36,0.094084067
low1538,1.796987847,0.950498473,2.643477222,31,2
low1539,-0.948083644,-1.139274753,-0.756892536,59,-0.8
low154,2.06040781,1.628668814,2.492146806,62,2
low1540,9.383032722,8.23440711,10.53165833,30,10
low1541,-1.872937539,-2.409702647,-1.33617243,63,-2
low1542,-0.71422313,-0.918508682,-0.509937577,59,-0.8
low1543,-0.823327488,-1.011390381,-0.635264595,59,-0.8
low1544,-0.613382154,-0.841783763,-0.384980544,59,-0.8
low1545,0.184065472,0.103963488,0.264167455,17,0.106696525
low1546,0.11342014,0.086196328,0.140643953,36,0.094084067
low1547,1.698714481,1.545036271,1.852392691,60,1.686248312
low1548,0.087579554,0.019427444,0.155731664,19,0.120725664
low1549,2.238372327,1.858708615,2.618036038,61,2
low155,0.162049306,0.098748968,0.225349644,20,0.156759654
low1550,0.049953218,-0.03057932,0.130485755,17,0.106696525
low1551,1.939129834,0.790987346,3.087272323,31,2
low1552,-0.781991604,-1.005745446,-0.558237762,59,-0.8
low1553,0.53481858,0.365090714,0.704546447,57,0.5
low1554,0.10905664,0.075473662,0.142639617,35,0.122643948
low1555,-1.73364996,-2.299610313,-1.167689606,63,-2
low1556,2.24007711,1.834384734,2.645769487,61,2
low1557,0.125923699,0.057343349,0.194504048,18,0.147047059
low1558,2.577763012,1.622927486,3.532598537,31,2
low1559,2.193752221,1.630866467,2.756637974,62,2
low156,0.148797443,0.087061464,0.210533422,19,0.120725664
low1560,1.603439135,1.450511692,1.756366579,60,1.686248312
low1561,1.107450779,0.905127863,1.309773695,58,1
low1562,0.109091825,0.083178642,0.135005008,36,0.094084067
low1563,0.104842962,0.085268323,0.1244176,33,0.099589875
low1564,1.542402884,1.397031937,1.687773831,60,1.686248312
low1565,2.981156161,2.288991918,3.673320404,32,2.527390408
low1566,0.102491008,0.028249578,0.176732438,20,0.156759654
low1567,10.62966381,9.449973876,11.80935375,30,10
low1568,0.095467787,0.069152971,0.121782603,36,0.094084067
low1569,0.124849493,0.042360534,0.207338451,17,0.106696525
low157,10.77815082,9.614181332,11.94212031,30,10
low1570,0.110532688,0.081587475,0.139477901,35,0.122643948
low1571,0.19856769,0.110233834,0.286901546,18,0.147047059
low1572,-0.866782635,-1.079279399,-0.654285871,59,-0.8
low1573,1.002343432,0.766433713,1.23825315,58,1
low1574,2.242533187,1.562509614,2.922556761,32,2.527390408
low1575,0.132972968,0.046038056,0.219907881,18,0.147047059
low1576,0.139002028,0.055532973,0.222471084,17,0.106696525
low1577,0.132175727,0.103774125,0.16057733,35,0.122643948
low1578,0.087184133,0.000841958,0.173526308,18,0.147047059
low1579,-1.520753727,-2.279716957,-0.761790497,63,-2
low158,0.209218331,0.126665589,0.291771074,18,0.147047059
low1580,0.113196789,0.084621544,0.141772034,35,0.122643948
low1581,2.537346202,1.850884303,3.223808101,32,2.527390408
low1582,0.088686221,0.007956855,0.169415587,20,0.156759654
low1583,3.776057799,3.042327093,4.509788504,29,4
low1584,-0.837376947,-1.077835297,-0.596918597,59,-0.8
low1585,0.120961806,0.090771345,0.151152268,35,0.122643948
low1586,1.007489149,0.786515519,1.22846278,58,1
low1587,0.517929773,0.329861424,0.705998122,57,0.5
low1588,4.186113077,3.340093565,5.032132589,29,4
low1589,0.115787455,0.0836713,0.147903611,35,0.122643948
low159,0.181341975,0.094602455,0.268081494,18,0.147047059
low1590,4.52865395,3.724557534,5.332750367,29,4
low1591,0.031381828,-0.001046796,0.063810451,34,0.049629693
low1592,0.083630387,0.057150578,0.110110195,36,0.094084067
low1593,0.167895667,0.079365509,0.256425826,18,0.147047059
low1594,9.85930098,8.667013986,11.05158797,30,10
low1595,0.161106256,0.096740619,0.225471893,20,0.156759654
low1596,0.100784584,0.07398089,0.127588278,36,0.094084067
low1597,2.273845156,1.566429455,2.981260858,32,2.527390408
low1598,0.10972635,0.039325205,0.180127495,19,0.120725664
low1599,0.165475379,0.06354018,0.267410579,18,0.147047059
low16,0.170549252,0.090995908,0.250102596,20,0.156759654
low160,9.493358677,8.352803337,10.63391402,30,10
low1600,1.66912875,1.52181308,1.816444421,60,1.686248312
low1601,0.072256764,-0.000502363,0.145015891,19,0.120725664
low1602,0.107160354,0.086760795,0.127559912,33,0.099589875
low1603,0.141479235,0.109757587,0.173200882,35,0.122643948
low1604,0.099849975,0.073528283,0.126171667,36,0.094084067
low1605,0.121944347,0.026509318,0.217379376,17,0.106696525
low1606,0.145358815,0.060274877,0.230442752,17,0.106696525
low1607,0.133175295,0.053000932,0.213349658,17,0.106696525
low1608,0.044333531,0.013811747,0.074855314,34,0.049629693
low1609,-0.785497788,-0.959532692,-0.611462883,59,-0.8
low161,4.972179941,4.162349366,5.782010516,29,4
low1610,0.0531241,0.022621735,0.083626466,34,0.049629693
low1611,0.431879169,0.240681945,0.623076394,57,0.5
low1612,2.163065637,1.184096577,3.142034698,31,2
low1613,2.338892408,1.643357398,3.034427418,32,2.527390408
low1614,3.912149504,3.188436438,4.63586257,29,4
low1615,-0.701508974,-0.887741829,-0.515276119,59,-0.8
low1616,0.141925062,0.059222635,0.224627488,19,0.120725664
low1617,0.068206001,0.037222737,0.099189265,34,0.049629693
low1618,2.59078876,1.997073077,3.184504444,62,2
low1619,-0.722070308,-0.911765938,-0.532374679,59,-0.8
low162,0.124054174,0.097531158,0.150577189,35,0.122643948
low1620,0.102922546,0.083381017,0.122464075,33,0.099589875
low1621,-2.422556372,-3.145172443,-1.6999403,63,-2
low1622,1.617060962,1.466077421,1.768044503,60,1.686248312
low1623,0.130325705,0.10242909,0.158222321,35,0.122643948
low1624,1.967539944,1.527165163,2.407914725,61,2
low1625,0.118486349,0.033965597,0.2030071,17,0.106696525
low1626,4.003618658,3.675555294,4.331682022,64,3.625
low1627,2.368726569,1.738393169,2.999059968,62,2
low1628,1.82530389,0.884169844,2.766437936,31,2
low1629,0.106104211,0.085928315,0.126280107,33,0.099589875
low163,0.103409818,0.084104202,0.122715434,33,0.099589875
low1630,-0.640120532,-0.852972975,-0.42726809,59,-0.8
low1631,-1.36565634,-1.901630017,-0.829682662,63,-2
low1632,1.901834527,1.381229667,2.422439386,62,2
low1633,0.884157386,0.663135785,1.105178987,58,1
low1634,0.100841044,0.019419795,0.182262293,17,0.106696525
low1635,1.106209257,0.917859061,1.294559453,58,1
low1636,0.206680507,0.14530883,0.268052184,20,0.156759654
low1637,0.408866838,0.220859755,0.596873921,57,0.5
low1638,3.743370195,2.968508588,4.518231801,29,4
low1639,-0.738290255,-0.923186055,-0.553394454,59,-0.8
low164,0.058743381,0.027950391,0.08953637,34,0.049629693
low1640,0.992002904,0.790539059,1.19346675,58,1
low1641,-0.837021347,-1.04853122,-0.625511474,59,-0.8
low1642,0.088488057,0.06303019,0.113945923,36,0.094084067
low1643,4.171792748,3.376162736,4.967422759,29,4
low1644,4.106833637,3.351962871,4.861704403,29,4
low1645,0.126027976,0.012405004,0.239650948,19,0.120725664
low1646,2.239689561,1.731463858,2.747915265,61,2
low1647,0.21652733,0.137925046,0.295129613,18,0.147047059
low1648,3.608325539,3.258757388,3.95789369,64,3.625
low1649,1.68840109,1.529224396,1.847577784,60,1.686248312
low165,0.049203157,0.018762621,0.079643693,34,0.049629693
low1650,-1.097417474,-1.707879031,-0.486955918,63,-2
low1651,3.645685139,3.356729095,3.934641183,64,3.625
low1652,0.099969132,0.022395089,0.177543175,20,0.156759654
low1653,1.68196877,1.528327462,1.835610077,60,1.686248312
low1654,1.393171259,0.899394435,1.886948084,61,2
low1655,0.091719164,0.065012563,0.118425764,36,0.094084067
low1656,9.871898292,8.784925281,10.9588713,30,10
low1657,1.019153184,0.818553508,1.219752859,58,1
low1658,0.099846475,0.080667837,0.119025113,33,0.099589875
low1659,2.422057585,1.719967899,3.124147271,32,2.527390408
low166,0.06874974,0.038296879,0.099202602,34,0.049629693
low1660,0.127789298,0.048535513,0.207043083,17,0.106696525
low1661,0.093722488,-0.008096706,0.195541683,19,0.120725664
low1662,1.688779145,1.526409355,1.851148934,60,1.686248312
low1663,0.529917757,0.350481581,0.709353933,57,0.5
low1664,0.164749597,0.095467644,0.234031549,19,0.120725664
low1665,-0.811344589,-1.017628411,-0.605060767,59,-0.8
low1666,1.621742043,1.474562028,1.768922059,60,1.686248312
low1667,0.12836346,0.099228453,0.157498468,35,0.122643948
low1668,1.022401857,0.820766806,1.224036908,58,1
low1669,0.099738433,0.08002405,0.119452816,33,0.099589875
low167,-2.088159098,-2.822933941,-1.353384254,63,-2
low1670,0.062974864,0.032109789,0.09383994,34,0.049629693
low1671,2.115562594,1.629956751,2.601168437,62,2
low1672,1.77216769,1.141405824,2.402929556,62,2
low1673,1.752164288,1.589778836,1.914549739,60,1.686248312
low1674,0.053908684,0.020180767,0.087636602,34,0.049629693
low1675,0.08658206,0.059102727,0.114061393,36,0.094084067
low1676,1.892259383,1.420429368,2.364089399,61,2
low1677,-1.60347215,-2.345903894,-0.861040405,63,-2
low1678,1.793274525,1.265177791,2.321371259,62,2
low1679,3.588286463,3.285507356,3.89106557,64,3.625
low168,0.183231059,0.094940643,0.271521476,18,0.147047059
low1680,3.591447807,3.27302296,3.909872655,64,3.625
low1681,0.135258168,0.052982953,0.217533384,17,0.106696525
low1682,0.104763767,0.073134601,0.136392934,35,0.122643948
low1683,0.154860054,0.066921071,0.242799037,19,0.120725664
low1684,0.899232159,0.658300149,1.140164168,58,1
low1685,1.604256234,1.447159274,1.761353194,60,1.686248312
low1686,-2.027692747,-2.899066019,-1.156319476,63,-2
low1687,1.666647071,1.498959395,1.834334747,60,1.686248312
low1688,-0.779778716,-0.966948772,-0.59260866,59,-0.8
low1689,-0.738594999,-0.924670964,-0.552519033,59,-0.8
low169,0.543865023,0.372580618,0.715149428,57,0.5
low1690,0.096803356,0.077143819,0.116462893,33,0.099589875
low1691,1.597862491,1.438818412,1.756906571,60,1.686248312
low1692,0.433017339,0.256691336,0.609343342,57,0.5
low1693,10.03190509,8.922381336,11.14142885,30,10
low1694,1.7124437,1.551114466,1.873772933,60,1.686248312
low1695,3.631911263,3.294106112,3.969716414,64,3.625
low1696,0.104381205,0.084343013,0.124419396,33,0.099589875
low1697,0.514213018,0.338079282,0.690346755,57,0.5
low1698,0.142390239,0.058303516,0.226476962,17,0.106696525
low1699,10.77707367,9.726093902,11.82805343,30,10
low17,3.956299787,3.150182769,4.762416804,29,4
low170,0.047246527,-0.040901966,0.135395019,17,0.106696525
low1700,0.046636458,0.014628107,0.078644809,34,0.049629693
low1701,2.278062783,1.824620173,2.731505392,62,2
low1702,4.006565686,3.132377489,4.880753883,29,4
low1703,0.048780868,0.016459292,0.081102444,34,0.049629693
low1704,0.590034986,0.406165078,0.773904895,57,0.5
low1705,1.044732933,0.852927744,1.236538122,58,1
low1706,2.051714923,1.564196454,2.539233391,62,2
low1707,0.133486385,0.0434003,0.22357247,17,0.106696525
low1708,-1.455911782,-2.102909291,-0.808914274,63,-2
low1709,3.408171892,3.088083485,3.728260298,64,3.625
low171,0.114538591,0.033037805,0.196039376,19,0.120725664
low1710,0.031225506,-0.000409665,0.062860676,34,0.049629693
low1711,2.013737296,1.41290306,2.614571531,61,2
low1712,10.3032734,9.119181918,11.48736489,30,10
low1713,0.108520104,0.08178727,0.135252938,36,0.094084067
low1714,2.115145909,1.65517415,2.575117667,62,2
low1715,4.037117588,3.178902863,4.895332312,29,4
low1716,2.064076208,1.371753684,2.756398733,32,2.527390408
low1717,0.093442179,0.020119033,0.166765325,18,0.147047059
low1718,0.885709534,0.658175111,1.113243957,58,1
low1719,1.748364134,0.296093036,3.200635233,31,2
low172,2.181077036,1.515730005,2.846424066,62,2
low1720,0.986489504,0.797055515,1.175923493,58,1
low1721,-2.044927752,-2.82070526,-1.269150244,63,-2
low1722,0.517342799,0.353774296,0.680911302,57,0.5
low1723,0.069337108,0.037632702,0.101041514,34,0.049629693
low1724,0.495015841,0.31142388,0.678607802,57,0.5
low1725,1.879715611,0.723767465,3.035663756,31,2
low1726,2.324148529,1.912886909,2.735410148,61,2
low1727,0.637892537,-0.396426967,1.67221204,31,2
low1728,-0.667845327,-0.855789207,-0.479901447,59,-0.8
low1729,3.84843741,3.13043591,4.56643891,29,4
low173,0.09697986,0.078178816,0.115780905,33,0.099589875
low1730,0.183131048,0.095037519,0.271224577,18,0.147047059
low1731,2.253497112,1.77372165,2.733272573,62,2
low1732,0.091085251,0.071605305,0.110565196,33,0.099589875
low1733,0.044081717,0.01333414,0.074829293,34,0.049629693
low1734,2.745530317,1.965529379,3.525531256,32,2.527390408
low1735,-0.821920922,-1.010788827,-0.633053017,59,-0.8
low1736,0.09901271,0.079021019,0.1190044,33,0.099589875
low1737,1.944543704,1.409692259,2.479395148,61,2
low1738,1.541348311,1.045864946,2.036831675,61,2
low1739,0.406045536,0.205427998,0.606663075,57,0.5
low174,3.803550992,3.458927755,4.148174228,64,3.625
low1740,2.181909777,1.766649737,2.597169817,62,2
low1741,0.07814896,0.050775102,0.105522819,36,0.094084067
low1742,0.093204064,0.031757732,0.154650396,19,0.120725664
low1743,10.20068872,9.064573544,11.3368039,30,10
low1744,1.737096594,1.575478592,1.898714596,60,1.686248312
low1745,0.184679362,0.121597089,0.247761635,19,0.120725664
low1746,1.030727957,0.790939409,1.270516505,58,1
low1747,3.709332808,3.380645535,4.038020082,64,3.625
low1748,9.586901884,8.536330052,10.63747372,30,10
low1749,2.670001349,1.95221895,3.387783747,32,2.527390408
low175,0.071551922,0.045392589,0.097711254,36,0.094084067
low1750,0.108309055,0.043260007,0.173358102,19,0.120725664
low1751,0.394015655,0.226248868,0.561782442,57,0.5
low1752,2.120578531,1.669816018,2.571341044,62,2
low1753,0.126952221,0.098982797,0.154921644,35,0.122643948
low1754,1.826270243,1.3752185,2.277321986,61,2
low1755,10.40891067,9.217765612,11.60005572,30,10
low1756,0.114621428,0.08853246,0.140710396,36,0.094084067
low1757,0.04086861,-0.041930138,0.123667358,17,0.106696525
low1758,0.138167351,0.108180131,0.168154571,35,0.122643948
low1759,0.631514551,0.462076769,0.800952333,57,0.5
low176,2.608507025,1.690583235,3.526430814,31,2
low1760,0.103180392,0.082420939,0.123939846,33,0.099589875
low1761,0.120377535,0.055776291,0.184978779,19,0.120725664
low1762,0.048589846,0.015137037,0.082042655,34,0.049629693
low1763,1.725943118,1.221953917,2.229932319,61,2
low1764,0.123129856,0.051061002,0.19519871,20,0.156759654
low1765,0.154973595,0.073005532,0.236941659,18,0.147047059
low1766,1.061680418,0.848820918,1.274539919,58,1
low1767,-0.781956208,-1.015649272,-0.548263143,59,-0.8
low1768,0.1099596,0.089713932,0.130205268,33,0.099589875
low1769,0.100099243,0.074371702,0.125826784,36,0.094084067
low177,-1.918851968,-2.699943035,-1.1377609,63,-2
low1770,3.858949616,3.076698396,4.641200836,29,4
low1771,2.364619975,1.875328521,2.853911429,61,2
low1772,0.466003846,0.289905553,0.642102139,57,0.5
low1773,0.150106579,0.088393019,0.211820138,20,0.156759654
low1774,2.270256796,1.827564326,2.712949266,62,2
low1775,4.361495325,3.581730814,5.141259835,29,4
low1776,0.118446826,0.092825887,0.144067765,35,0.122643948
low1777,9.660868936,8.593361292,10.72837658,30,10
low1778,10.16845739,9.113861954,11.22305282,30,10
low1779,0.069773417,-0.009631567,0.1491784,20,0.156759654
low178,-0.827071853,-1.001531702,-0.652612005,59,-0.8
low1780,0.103949831,0.077659028,0.130240634,36,0.094084067
low1781,0.136640913,0.054464659,0.218817167,17,0.106696525
low1782,0.831839127,0.620307843,1.043370411,58,1
low1783,1.750367777,1.583215167,1.917520387,60,1.686248312
low1784,2.517279439,1.832827718,3.201731159,32,2.527390408
low1785,3.643081013,3.331532,3.954630025,64,3.625
low1786,1.810615495,1.360775264,2.260455727,61,2
low1787,9.283099299,8.210780503,10.35541809,30,10
low1788,3.479603075,2.669840308,4.289365841,29,4
low1789,0.069145002,0.042521138,0.095768867,36,0.094084067
low179,0.133035561,0.048614919,0.217456203,17,0.106696525
low1790,-0.88100332,-1.108371606,-0.653635034,59,-0.8
low1791,0.110139866,0.090535781,0.129743951,33,0.099589875
low1792,3.727167185,3.398166159,4.056168212,64,3.625
low1793,0.148244746,0.060801042,0.23568845,18,0.147047059
low1794,9.314828105,8.245315154,10.38434106,30,10
low1795,1.03291021,0.828934188,1.236886232,58,1
low1796,0.116603649,0.028361152,0.204846146,20,0.156759654
low1797,9.82980809,8.754599032,10.90501715,30,10
low1798,-1.599629885,-2.562500783,-0.636758986,63,-2
low1799,0.079666859,-0.004163963,0.163497682,17,0.106696525
low18,0.1104205,0.090712598,0.130128402,33,0.099589875
low180,1.782553416,1.329133149,2.235973683,61,2
low1800,-1.851138679,-2.7803368,-0.921940558,63,-2
low1801,1.909552638,1.453942718,2.365162557,62,2
low1802,1.870765747,1.184847451,2.556684042,32,2.527390408
low1803,0.167998534,0.077870231,0.258126838,18,0.147047059
low1804,0.175106673,0.109658733,0.240554614,20,0.156759654
low1805,0.142385173,0.059146168,0.225624179,17,0.106696525
low1806,0.122408995,0.046085755,0.198732235,19,0.120725664
low1807,0.119957493,0.100043081,0.139871906,33,0.099589875
low1808,-0.698314877,-0.905272841,-0.491356914,59,-0.8
low1809,0.105583419,0.084298082,0.126868756,33,0.099589875
low181,0.106900267,0.08659891,0.127201624,33,0.099589875
low1810,4.60301048,3.80807076,5.3979502,29,4
low1811,2.129111544,1.616820913,2.641402174,62,2
low1812,2.460348612,1.757026177,3.163671047,32,2.527390408
low1813,0.182060338,0.103649318,0.260471357,18,0.147047059
low1814,0.078087291,-0.000468388,0.15664297,17,0.106696525
low1815,0.1419899,0.113560814,0.170418987,35,0.122643948
low1816,0.10352247,0.076821981,0.130222959,36,0.094084067
low1817,2.193932856,1.48533055,2.902535163,32,2.527390408
low1818,1.585537706,1.427601628,1.743473785,60,1.686248312
low1819,0.2166326,0.135095974,0.298169227,18,0.147047059
low182,-0.743071955,-0.920181136,-0.565962774,59,-0.8
low1820,2.53298572,1.715765717,3.350205722,62,2
low1821,0.151225623,0.072508401,0.229942845,18,0.147047059
low1822,9.391091724,8.365531345,10.4166521,30,10
low1823,0.101347899,0.070090855,0.132604944,35,0.122643948
low1824,0.228768954,0.140708428,0.31682948,18,0.147047059
low1825,0.096981059,0.077685596,0.116276521,33,0.099589875
low1826,3.631718574,3.287284552,3.976152596,64,3.625
low1827,4.101100986,3.771049458,4.431152513,64,3.625
low1828,-0.633558876,-0.834532425,-0.432585327,59,-0.8
low1829,2.214908144,1.511958845,2.917857443,32,2.527390408
low183,0.156021344,0.088735136,0.223307553,19,0.120725664
low1830,0.138952311,0.069952343,0.207952278,20,0.156759654
low1831,4.4219071,3.605009931,5.23880427,29,4
low1832,3.796185316,3.034036134,4.558334497,29,4
low1833,0.078060862,0.052110067,0.104011657,36,0.094084067
low1834,2.60338454,1.692934835,3.513834245,31,2
low1835,0.057837361,0.0280145,0.087660223,34,0.049629693
low1836,0.084649391,-0.000500909,0.169799691,17,0.106696525
low1837,0.142687884,0.056095067,0.229280702,18,0.147047059
low1838,0.206624338,0.109963116,0.30328556,18,0.147047059
low1839,0.372965041,0.183142857,0.562787226,57,0.5
low184,9.109143404,8.005823727,10.21246308,30,10
low1840,1.585016451,1.430137154,1.739895748,60,1.686248312
low1841,0.075092801,0.000644383,0.14954122,19,0.120725664
low1842,0.731214366,0.539809864,0.922618869,57,0.5
low1843,1.73186481,1.582365352,1.881364267,60,1.686248312
low1844,0.108465853,0.026429321,0.190502385,17,0.106696525
low1845,0.092762792,0.066263161,0.119262424,36,0.094084067
low1846,1.696169118,1.543924183,1.848414054,60,1.686248312
low1847,1.013392666,0.802849051,1.223936282,58,1
low1848,1.727862162,1.565515341,1.890208982,60,1.686248312
low1849,0.168517217,0.064741617,0.272292817,18,0.147047059
low185,2.353925983,1.181885174,3.525966793,31,2
low1850,1.840263246,0.733322152,2.947204339,31,2
low1851,11.00694892,9.852941031,12.16095681,30,10
low1852,0.632707721,0.45769993,0.807715511,57,0.5
low1853,1.802346974,1.625702479,1.97899147,60,1.686248312
low1854,0.459038307,0.279044474,0.639032141,57,0.5
low1855,4.473104764,3.736065762,5.210143766,29,4
low1856,0.111550644,0.081140196,0.141961093,35,0.122643948
low1857,-1.946130049,-2.391191089,-1.501069009,63,-2
low1858,10.31106591,9.127355222,11.4947766,30,10
low1859,3.778344329,3.034786602,4.521902056,29,4
low186,2.409468524,1.880905917,2.938031131,62,2
low1860,-2.191739339,-2.635891871,-1.747586806,63,-2
low1861,0.115760046,0.095780259,0.135739833,33,0.099589875
low1862,0.039982861,-0.042414093,0.122379815,17,0.106696525
low1863,2.496240932,1.81904837,3.173433493,32,2.527390408
low1864,0.097168989,0.077992183,0.116345795,33,0.099589875
low1865,0.170671152,0.107010866,0.234331439,19,0.120725664
low1866,0.054997196,-0.03132697,0.141321361,17,0.106696525
low1867,9.709747254,8.678682358,10.74081215,30,10
low1868,0.504771764,0.296957426,0.712586101,57,0.5
low1869,0.233124319,0.169522835,0.296725804,20,0.156759654
low187,0.922709088,0.667226052,1.178192123,58,1
low1870,0.134157843,0.066796702,0.201518984,20,0.156759654
low1871,3.630446502,3.296440811,3.964452193,64,3.625
low1872,0.125816284,0.099099939,0.15253263,35,0.122643948
low1873,3.289832054,2.976340421,3.603323688,64,3.625
low1874,2.069039589,0.872097906,3.265981272,31,2
low1875,0.126174874,0.038618581,0.213731167,17,0.106696525
low1876,0.50310497,0.323094859,0.683115082,57,0.5
low1877,0.220382808,0.155692017,0.2850736,20,0.156759654
low1878,0.187697873,0.122492951,0.252902794,20,0.156759654
low1879,0.107784725,0.035608608,0.179960841,19,0.120725664
